,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,behavior,behavior_type,num_sessions,num_users,num_unique_apis,source
0,024aae60-1a81-3f37-bbe6-3f832c919706,7.010387096774193,0.41935483870967744,31.0,13040,default,outlier,outlier,1.0,1.0,13.0,E
1,028d67dd-c6d0-329f-a20e-78db9eab7a55,51.419392523364486,0.2523364485981308,107.0,330113,default,outlier,outlier,1.0,1.0,27.0,E
2,02d12bf9-5fe2-3d0c-b233-30e02224b686,25.860775,0.275,40.0,62066,default,outlier,outlier,1.0,1.0,11.0,E
3,0b3aee1e-dc3b-3728-bc55-f57a23446b3d,0.2059090909090909,0.8181818181818182,11.0,136,default,outlier,outlier,1.0,1.0,9.0,E
4,0dbfffb4-3ed4-3cb2-904d-c348501a996e,0.122125,0.8125,16.0,118,default,outlier,outlier,1.0,1.0,13.0,E
5,16fdcdc8-702d-381b-af47-73af6de0750a,15.32678947368421,0.6842105263157895,19.0,17473,default,outlier,outlier,1.0,1.0,13.0,E
6,200811cc-f582-31e3-9c06-3e1b3e45c70f,0.40118950437317785,0.13411078717201166,343.0,8257,default,outlier,outlier,2.0,1.0,46.0,E
7,212b75e4-4eab-333e-a0c9-97b30009e4d9,15.913862068965518,0.07758620689655173,11.6,110761,default,BingPreview/1.0b;bingbot/2.0,bot,57.0,10.0,9.0,E
8,2319e7e0-6480-3fd7-9408-46a976d34436,0.0054375,0.25,2.0,3,default,Googlebot/2.1;unknown,bot,4.0,4.0,2.0,E
9,23b30eea-06c7-3576-bb6e-09df0fea6a9d,17.5334,0.19,200.0,210401,default,outlier,outlier,1.0,1.0,38.0,E
10,2e8eff2b-ff41-3df9-9173-1b0d0045938a,10.360288888888888,0.28888888888888886,90.0,55946,default,outlier,outlier,1.0,1.0,26.0,E
11,33d57ba9-661a-3e45-8b90-bf3a9919586c,2.2019499999999996,0.6,20.0,2643,default,outlier,outlier,1.0,1.0,12.0,E
12,38b87097-94ef-3d18-ac00-40d935d70cba,9.4989375,0.5625,32.0,18238,default,outlier,outlier,1.0,1.0,18.0,E
13,39be731d-0db8-359c-aef0-e85c6f26778e,40.34403424657534,0.2328767123287671,146.0,353414,default,outlier,outlier,1.0,1.0,34.0,E
14,3a5ee42f-282f-3900-af3f-8aeed2fdbcc5,0.584125,0.75,16.0,561,default,outlier,outlier,1.0,1.0,12.0,E
15,3f56fa42-3a39-37aa-bbbd-54f98db0d3ff,4.781528571428571,0.2357142857142857,280.0,80330,default,outlier,outlier,1.0,1.0,66.0,E
16,41e3f31a-6691-3827-a041-53c707e00b23,7.433645833333333,0.5416666666666666,48.0,21409,default,outlier,outlier,1.0,1.0,26.0,E
